DATE,STA_A,STA_H,STA_I,STA_M
2018-03-07,21.0,0.0,25,1.0
2018-03-08,31.0,0.0,35,40.5
2018-03-09,29.5,0.0,51,4.0
2018-03-10,1.0,0.0,11,10.3
2018-03-11,2.5,0.0,0,17.0
2018-03-12,25.0,0.0,7,31.5
2018-03-13,4.0,0.0,0,0.0
2018-03-14,0.0,0.0,0,2.2
2018-03-15,0.0,0.0,0,25.0
2018-03-16,0.0,0.0,39,23.0
2018-03-17,18.0,0.0,0,45.3
2018-03-18,6.0,0.0,0,37.0
2018-03-19,4.5,0.0,0,14.0
2018-03-20,28.0,0.0,36,33.0
2018-03-21,59.0,0.0,53,0.0
2018-03-22,1.0,0.0,0,0.0
2018-03-23,4.0,0.0,2,2.0
2018-03-24,21.0,0.0,11,5.0
2018-03-25,6.5,0.0,0,0.0
2018-03-26,2.0,0.0,0,0.0
2018-03-27,0.0,0.0,0,1.0
2018-03-28,44.0,0.0,13,7.5
2018-03-29,0.0,0.0,2,17.5
2018-03-30,1.0,0.0,0,0.0
2018-03-31,0.0,0.0,0,0.0
2018-04-01,1.5,10.5,0,0.0
2018-04-02,0.0,0.0,0,6.0
2018-04-03,0.0,0.0,0,27.5
2018-04-04,3.0,0.0,7,2.0
2018-04-05,4.0,2.5,0,7.0
2018-04-06,11.5,0.0,0,0.0
2018-04-07,0.0,7.0,0,40.0
2018-04-08,18.0,9.5,16,0.0
2018-04-09,10.5,5.0,0,2.5
2018-04-10,1.5,0.0,3,0.0
2018-04-11,3.5,0.0,0,0.0
2018-04-12,0.0,0.0,0,6.5
2018-04-13,1.0,0.0,0,23.0
2018-04-14,0.5,9.0,0,0.0
2018-04-15,17.5,7.5,0,0.0
2018-04-16,0.0,1.0,7,0.0
2018-04-17,1.0,0.0,0,0.0
2018-04-18,8.0,0.0,0,1.5
2018-04-19,2.0,8.0,2,17.0
2018-04-20,12.0,1.5,0,2.0
2018-04-21,6.0,0.0,21,4.5
2018-04-22,8.5,0.0,35,2.5
2018-04-23,32.0,0.0,47,2.5
2018-04-24,4.5,2.5,12,0.0
2018-04-25,0.0,0.0,0,9.5
2018-04-26,2.5,0.0,0,8.5
2018-04-27,9.5,0.0,0,0.0
2018-04-28,5.0,6.5,0,0.0
2018-04-29,7.5,0.0,0,0.0
2018-04-30,0.0,0.0,0,0.0
2018-05-01,0.0,0.0,0,0.0
2018-05-02,0.0,0.0,0,0.0
2018-05-03,0.0,0.0,0,0.0
2018-05-04,0.0,0.0,0,0.0
2018-05-05,0.5,4.5,3,0.0
2018-05-06,0.0,0.0,0,0.0
2018-05-07,0.0,3.0,0,0.0
2018-05-08,0.0,7.0,0,15.0
2018-05-09,3.0,2.5,23,0.0
2018-05-10,0.0,0.0,0,0.0
2018-05-11,0.0,3.5,0,0.0
2018-05-12,0.0,0.0,0,0.0
2018-05-13,0.0,3.0,2,0.0
2018-05-14,0.0,0.0,0,0.0
2018-05-15,0.0,0.0,0,7.0
2018-05-16,1.0,0.0,0,18.0
2018-05-17,0.0,0.0,0,0.0
2018-05-18,2.0,9.5,0,26.0
2018-05-19,4.0,4.0,0,2.0
2018-05-20,8.0,0.0,7,0.0
2018-05-21,6.5,0.0,3,1.0
2018-05-22,3.0,0.0,18,1.5
2018-05-23,5.0,1.5,1,3.0
2018-05-24,9.5,0.0,0,6.0
2018-05-25,11.0,0.0,0,3.0
2018-05-26,2.5,3.5,2,0.0
2018-05-27,7.5,4.0,0,0.0
2018-05-28,0.0,0.0,0,0.0
2018-05-29,0.0,0.0,0,0.0
2018-05-30,0.0,0.0,0,0.0
2018-05-31,0.0,0.0,0,0.0
2018-06-01,0.0,0.0,0,0.0
2018-06-02,0.0,0.0,0,0.0
2018-06-03,0.0,0.0,0,0.0
2018-06-04,0.0,0.0,0,0.0
2018-06-05,0.0,2.5,0,0.0
2018-06-06,0.0,0.0,0,0.0
2018-06-07,0.0,0.0,0,0.0
2018-06-08,0.0,0.0,0,0.0
2018-06-09,0.0,1.5,0,0.0
2018-06-10,0.0,14.0,0,0.0
2018-06-11,0.0,17.0,0,0.0
2018-06-12,0.0,0.0,0,0.0
2018-06-13,0.0,3.5,0,0.0
2018-06-14,0.0,1.0,0,0.0
2018-06-15,0.0,0.0,0,0.0
2018-06-16,0.0,0.0,11,0.0
2018-06-17,0.0,0.0,0,0.0
2018-06-18,0.0,2.5,0,0.0
2018-06-19,0.0,0.0,0,0.0
2018-06-20,0.0,8.0,0,0.0
2018-06-21,0.0,0.0,0,0.0
2018-06-22,0.0,1.5,0,0.0
2018-06-23,5.0,2.5,4,0.0
2018-06-24,7.5,0.0,0,0.0
2018-06-25,4.0,0.0,0,0.0
2018-06-26,10.5,0.0,0,13.0
2018-06-27,15.0,0.0,32,0.0
2018-06-28,0.0,3.0,0,0.0
2018-06-29,0.0,0.0,0,0.0
2018-06-30,0.0,0.0,0,0.0
2018-07-01,0.0,0.0,0,0.0
2018-07-02,0.0,0.0,0,0.0
2018-07-03,0.0,1.0,0,0.0
2018-07-04,0.0,9.0,0,0.0
2018-07-05,0.0,2.0,0,0.0
2018-07-06,0.0,0.0,0,0.0
2018-07-07,0.0,0.0,0,0.0
2018-07-08,0.0,2.0,0,0.0
2018-07-09,0.0,3.5,0,0.0
2018-07-10,0.0,0.0,0,0.0
2018-07-11,0.0,0.0,0,0.0
2018-07-12,0.0,6.0,0,0.0
2018-07-13,0.0,9.0,0,0.0
2018-07-14,0.0,0.0,0,0.0
2018-07-15,0.0,0.0,0,0.0
2018-07-16,0.0,0.0,0,0.0
2018-07-17,0.0,0.0,0,0.0
2018-07-18,0.0,3.0,0,0.0
2018-07-19,0.0,0.0,0,0.0
2018-07-20,0.0,0.0,0,0.0
2018-07-21,0.0,0.0,0,0.0
2018-07-22,0.0,0.0,0,0.0
2018-07-23,0.0,11.5,0,0.0
2018-07-24,0.0,3.0,0,0.0
2018-07-25,0.0,0.0,0,0.0
2018-07-26,0.0,1.5,0,0.0
2018-07-27,0.0,0.0,0,0.0
2018-07-28,0.0,0.0,0,0.0
2018-07-29,0.0,6.5,0,0.0
2018-07-30,0.0,0.0,0,0.0
2018-07-31,0.0,0.0,0,0.0
2018-08-01,0.0,1.5,0,0.0
2018-08-02,0.0,0.0,25,0.0
2018-08-03,0.0,0.0,0,0.0
2018-08-04,0.0,0.0,0,0.0
2018-08-05,0.0,0.0,0,0.0
2018-08-06,0.0,6.5,0,0.0
2018-08-07,0.0,0.0,0,0.0
2018-08-08,0.0,0.0,0,0.0
2018-08-09,0.0,0.0,0,0.0
2018-08-10,3.0,0.0,2,0.0
2018-08-11,0.0,2.5,13,0.0
2018-08-12,0.0,0.0,0,0.0
2018-08-13,0.0,0.0,0,0.0
2018-08-14,0.0,0.0,0,0.0
2018-08-15,0.0,0.0,0,0.0
2018-08-16,0.0,0.0,0,0.0
2018-08-17,0.0,0.0,0,0.0
2018-08-18,0.0,0.0,0,0.0
2018-08-19,0.0,0.0,0,0.0
2018-08-20,0.0,0.0,0,0.0
2018-08-21,0.0,0.0,0,0.0
2018-08-22,0.0,0.0,0,0.0
2018-08-23,0.0,0.0,0,0.0
2018-08-24,0.0,0.0,0,0.0
2018-08-25,0.0,0.0,0,0.0
2018-08-26,0.0,0.0,0,0.0
2018-08-27,0.0,11.5,0,0.0
2018-08-28,0.0,14.0,0,0.0
2018-08-29,0.0,3.0,0,0.0
2018-08-30,7.5,6.0,0,1.5
2018-08-31,0.0,10.5,0,0.0
2018-09-01,3.0,3.0,2,0.0
2018-09-02,6.0,6.0,11,0.0
2018-09-03,4.5,0.0,0,0.0
2018-09-04,0.0,0.0,0,0.0
2018-09-05,0.0,0.0,0,0.0
2018-09-06,0.0,0.0,0,0.0
2018-09-07,0.0,4.0,0,0.0
2018-09-08,3.5,0.0,0,0.0
2018-09-09,0.0,0.0,0,0.0
2018-09-10,0.0,0.0,0,0.0
2018-09-11,0.0,0.0,0,0.0
2018-09-12,0.0,0.0,0,0.0
2018-09-13,0.0,0.0,0,0.0
2018-09-14,0.0,5.0,0,0.0
2018-09-15,0.0,0.0,0,0.0
2018-09-16,0.0,0.0,0,0.0
2018-09-17,0.0,0.0,0,0.0
2018-09-18,0.0,0.0,0,0.0
2018-09-19,0.0,0.0,0,0.0
2018-09-20,0.0,0.0,0,0.0
2018-09-21,1.0,0.0,0,0.0
2018-09-22,0.0,18.5,0,0.0
2018-09-23,0.0,0.0,0,0.0
2018-09-24,0.0,0.0,0,0.0
2018-09-25,0.0,0.0,0,0.0
2018-09-26,0.0,0.0,0,0.0
2018-09-27,0.0,0.0,0,0.0
2018-09-28,0.0,0.0,0,0.0
2018-09-29,0.0,0.0,0,0.0
2018-09-30,0.0,0.0,0,0.0
2018-10-01,0.0,0.0,0,0.0
2018-10-02,0.0,0.0,0,0.0
2018-10-03,0.0,0.0,0,4.0
2018-10-04,0.0,0.0,0,0.0
2018-10-05,0.0,0.0,0,0.0
2018-10-06,0.0,0.0,0,0.0
2018-10-07,0.0,0.0,0,0.0
2018-10-08,0.0,0.0,0,0.0
2018-10-09,0.0,0.0,0,0.0
2018-10-10,0.0,0.0,0,0.0
2018-10-11,0.0,0.0,0,0.0
2018-10-12,0.0,0.0,0,0.0
2018-10-13,0.0,0.0,0,0.0
2018-10-14,0.0,0.0,4,0.0
2018-10-15,0.0,0.0,0,0.0
2018-10-16,0.0,0.0,0,0.0
2018-10-17,0.0,0.0,0,1.0
2018-10-18,0.0,0.0,0,2.5
2018-10-19,0.0,0.0,0,0.0
2018-10-20,0.0,2.0,0,0.0
2018-10-21,0.0,8.5,0,0.0
2018-10-22,0.0,6.0,0,0.0
2018-10-23,1.0,3.0,0,19.5
2018-10-24,13.0,0.0,21,0.0
2018-10-25,1.5,9.5,9,1.5
2018-10-26,2.0,12.0,14,0.0
2018-10-27,15.0,3.5,29,0.0
2018-10-28,11.0,0.0,0,2.0
2018-10-29,18.0,4.0,31,0.0
2018-10-30,27.5,2.5,42,7.5
2018-10-31,16.5,4.5,27,46.0
2018-11-01,24.0,0.0,3,0.0
2018-11-02,9.0,0.0,58,0.0
2018-11-03,2.5,0.0,6,0.0
2018-11-04,7.0,0.0,4,0.0
2018-11-05,0.0,3.0,0,5.5
2018-11-06,3.5,0.0,9,36.0
2018-11-07,1.0,0.0,2,0.5
2018-11-08,30.0,0.0,0,3.0
2018-11-09,6.0,3.0,26,0.0
2018-11-10,21.5,0.0,0,0.0
2018-11-11,46.0,0.0,10,0.0
2018-11-12,5.0,10.0,10,8.5
2018-11-13,0.0,2.0,0,0.0
2018-11-14,0.0,30.0,1,4.5
2018-11-15,23.5,29.0,0,11.0
2018-11-16,0.0,24.0,7,5.0
2018-11-17,0.0,14.0,49,0.0
2018-11-18,0.0,6.0,30,0.0
2018-11-19,0.0,3.0,0,0.0
2018-11-20,0.0,0.0,5,91.0
2018-11-21,19.0,0.0,40,8.0
2018-11-22,12.0,0.0,3,3.0
2018-11-23,24.0,9.0,30,0.0
2018-11-24,44.5,0.0,3,16.0
2018-11-25,23.0,1.0,20,76.0
2018-11-26,15.5,0.0,32,0.0
2018-11-27,26.0,10.0,28,0.0
2018-11-28,21.0,1.5,11,0.0
2018-11-29,41.0,22.0,0,2.5
2018-11-30,34.0,0.0,7,0.0
2018-12-01,9.0,0.0,0,47.0
2018-12-02,26.0,0.0,1,32.5
2018-12-03,17.5,15.0,0,0.0
2018-12-04,36.5,41.0,8,0.0
2018-12-05,31.0,11.0,0,3.0
2018-12-06,7.0,27.0,0,1.0
2018-12-07,11.0,3.0,0,9.0
2018-12-08,4.0,12.0,0,14.5
2018-12-09,0.0,7.5,0,0.0
2018-12-10,3.0,70.0,0,6.0
2018-12-11,5.5,1.0,1,6.5
2018-12-12,8.5,34.0,10,0.0
2018-12-13,16.0,2.0,8,0.0
2018-12-14,67.0,4.0,17,0.0
2018-12-15,28.5,10.5,9,0.0
2018-12-16,46.0,15.0,0,0.0
2018-12-17,24.0,23.0,0,0.0
2018-12-18,19.5,13.0,8,0.0
2018-12-19,9.0,1.0,0,11.5
2018-12-20,0.0,1.0,0,0.0
2018-12-21,0.0,6.0,18,15.0
2018-12-22,0.0,6.0,0,2.0
2018-12-23,0.5,1.5,0,45.0
2018-12-24,2.0,0.0,1,3.0
2018-12-25,0.0,0.0,3,0.0
2018-12-26,4.0,0.0,20,12.5
2018-12-27,2.5,0.0,0,0.0
2018-12-28,6.0,0.0,10,8.0
2018-12-29,7.5,37.0,0,0.0
2018-12-30,0.0,12.0,0,0.0
2018-12-31,0.0,18.5,15,0.0
2019-01-01,0.0,0.0,0,0.0
2019-01-02,7.0,3.5,2,0.0
2019-01-03,9.0,19.0,0,0.0
2019-01-04,0.0,21.5,0,0.0
2019-01-05,0.0,8.0,0,21.5
2019-01-06,0.0,0.0,0,0.0
2019-01-07,0.0,0.0,0,2.0
2019-01-08,3.5,0.0,1,20.0
2019-01-09,0.0,0.0,11,2.5
2019-01-10,0.0,0.0,3,2.7
2019-01-11,17.5,0.0,1,15.0
2019-01-12,7.0,0.0,2,7.0
2019-01-13,14.0,0.0,5,60.5
2019-01-14,32.0,0.0,46,0.0
2019-01-15,0.0,6.0,1,0.0
2019-01-16,6.0,9.5,0,0.0
2019-01-17,0.0,2.0,0,4.5
2019-01-18,8.5,11.5,0,2.0
2019-01-19,1.0,15.0,1,0.0
2019-01-20,0.0,9.0,0,4.0
2019-01-21,3.5,0.0,0,1.0
2019-01-22,8.0,0.0,0,2.0
2019-01-23,7.0,0.0,1,0.0
2019-01-24,0.0,0.0,0,0.0
2019-01-25,2.0,0.0,1,0.0
2019-01-26,0.0,6.5,0,5.0
2019-01-27,0.0,2.5,3,0.0
2019-01-28,11.0,3.0,5,0.0
2019-01-29,0.0,7.5,0,0.0
2019-01-30,24.0,12.0,1,0.0
2019-01-31,5.0,0.0,0,0.0
2019-02-01,3.0,6.0,0,25.0
2019-02-02,5.0,0.0,3,19.0
2019-02-03,6.5,9.0,0,5.0
2019-02-04,17.0,32.0,0,16.0
2019-02-05,0.0,15.0,0,1.5
2019-02-06,0.0,0.0,0,9.0
2019-02-07,19.0,0.0,2,4.5
2019-02-08,14.5,0.0,39,13.5
2019-02-09,26.0,0.0,5,79.5
2019-02-10,11.0,0.0,51,33.8
2019-02-11,9.0,0.0,36,31.0
2019-02-12,18.0,0.0,29,1.0
2019-02-13,22.0,0.0,17,0.5
2019-02-14,0.0,0.0,0,20.5
2019-02-15,41.0,9.0,23,0.0
2019-02-16,4.0,0.0,0,22.0
2019-02-17,29.0,0.0,7,8.0
2019-02-18,27.0,3.0,26,3.5
2019-02-19,2.5,5.0,19,0.0
2019-02-20,21.0,5.5,17,95.5
2019-02-21,6.0,3.0,15,5.5
2019-02-22,8.0,1.5,8,5.0
2019-02-23,23.0,0.0,33,28.5
2019-02-24,19.0,0.0,41,1.0
2019-02-25,12.0,16.0,1,0.0
2019-02-26,32.0,0.0,0,0.0
2019-02-27,1.5,0.0,0,0.0
2019-02-28,0.0,0.0,0,2.0
2019-03-01,2.5,2.5,0,4.5
2019-03-02,28.5,0.0,31,43.5
2019-03-03,12.5,3.0,5,1.0
2019-03-04,8.0,0.0,0,16.0
2019-03-05,0.0,1.5,0,21.0
2019-03-06,13.0,16.5,3,40.0
2019-03-07,20.0,19.0,28,0.0
2019-03-08,0.0,4.0,0,0.0
2019-03-09,3.0,0.0,0,14.0
2019-03-10,11.0,0.0,1,0.0
2019-03-11,0.0,0.0,0,9.0
2019-03-12,2.5,0.0,0,0.0
2019-03-13,2.0,0.0,0,0.0
2019-03-14,0.5,0.0,0,0.0
2019-03-15,0.0,0.0,0,3.0
2019-03-16,6.0,1.0,17,0.0
2019-03-17,9.0,0.0,3,1.0
2019-03-18,3.0,0.0,0,0.0
2019-03-19,4.0,0.0,0,17.5
2019-03-20,29.0,0.0,6,2.5
2019-03-21,3.5,22.5,1,16.5
2019-03-22,1.5,13.0,0,1.0
2019-03-23,4.5,19.0,2,0.0
2019-03-24,1.0,17.5,0,0.0
2019-03-25,0.0,0.0,0,0.0
2019-03-26,2.0,0.0,0,20.0
2019-03-27,4.0,0.0,1,10.0
2019-03-28,23.0,3.0,3,1.5
2019-03-29,14.0,28.5,1,44.0
2019-03-30,7.0,22.0,0,0.0
2019-03-31,1.0,25.5,0,2.5
2019-04-01,1.0,0.0,0,10.5
2019-04-02,4.0,0.0,0,14.0
2019-04-03,51.0,0.0,14,7.0
2019-04-04,6.0,0.0,1,2.0
2019-04-05,19.0,0.0,9,1.0
2019-04-06,25.0,0.0,0,17.5
2019-04-07,1.0,0.0,0,61.0
2019-04-08,22.0,2.5,4,8.5
2019-04-09,10.5,0.0,25,18.0
2019-04-10,0.0,0.0,0,0.0
2019-04-11,0.0,0.0,0,0.0
2019-04-12,0.0,0.0,0,7.5
2019-04-13,3.0,0.0,0,3.0
2019-04-14,24.0,9.0,22,2.0
2019-04-15,9.0,2.5,20,16.0
2019-04-16,5.0,18.0,2,33.0
2019-04-17,34.0,21.5,16,0.0
2019-04-18,19.0,6.0,27,3.5
2019-04-19,7.0,0.0,21,11.0
2019-04-20,17.0,0.0,47,1.0
2019-04-21,0.0,1.0,0,0.0
2019-04-22,0.0,0.0,0,0.0
2019-04-23,0.0,0.0,0,24.5
2019-04-24,11.0,5.5,0,0.0
2019-04-25,0.0,12.0,12,8.5
2019-04-26,14.0,8.5,4,3.5
2019-04-27,43.0,0.0,6,1.0
2019-04-28,2.0,0.0,10,4.5
2019-04-29,16.0,0.0,27,0.0
2019-04-30,3.5,0.0,21,2.0
2019-05-01,27.0,0.0,39,25.0
2019-05-02,1.0,0.0,0,5.5
2019-05-03,5.0,0.0,0,4.0
2019-05-04,1.5,0.0,0,0.0
2019-05-05,0.0,0.0,0,12.5
2019-05-06,3.0,0.0,0,0.0
2019-05-07,0.0,0.0,0,0.0
2019-05-08,0.0,0.0,2,0.0
2019-05-09,9.0,0.0,0,7.5
2019-05-10,1.0,0.0,15,0.0
2019-05-11,0.0,0.0,1,0.0
2019-05-12,0.0,0.0,1,0.0
2019-05-13,0.0,0.0,3,0.0
2019-05-14,0.0,0.0,0,0.0
2019-05-15,0.0,0.0,0,0.0
2019-05-16,17.5,0.0,11,0.0
2019-05-17,2.0,0.0,7,0.0
2019-05-18,0.0,0.0,0,0.0
2019-05-19,0.0,0.0,0,0.0
2019-05-20,0.0,0.0,0,0.0
2019-05-21,2.5,0.0,0,0.0
2019-05-22,0.0,0.0,0,0.0
2019-05-23,0.0,0.0,0,0.0
2019-05-24,0.0,0.0,0,0.0
2019-05-25,0.0,0.0,0,0.0
2019-05-26,0.0,0.0,0,0.0
2019-05-27,0.0,0.0,0,0.0
2019-05-28,0.0,0.0,0,0.0
2019-05-29,0.0,0.0,0,0.0
2019-05-30,0.0,0.0,0,0.0
2019-05-31,0.0,0.0,0,0.0
2019-06-01,0.0,0.0,0,0.0
2019-06-02,0.0,0.0,0,0.0
2019-06-03,0.0,3.5,2,0.0
2019-06-04,0.0,0.0,0,0.0
2019-06-05,0.0,0.0,0,0.0
2019-06-06,0.0,0.0,0,0.0
2019-06-07,0.0,0.0,0,0.0
2019-06-08,0.0,0.0,0,0.0
2019-06-09,0.0,1.5,0,0.0
2019-06-10,0.0,0.0,0,0.0
2019-06-11,0.0,0.0,0,0.0
2019-06-12,0.0,0.0,0,0.0
2019-06-13,0.0,0.0,0,0.0
2019-06-14,0.0,0.0,0,0.0
2019-06-15,0.0,0.0,0,0.0
2019-06-16,0.0,0.0,0,0.0
2019-06-17,0.0,0.0,3,0.0
2019-06-18,0.0,0.0,0,0.0
2019-06-19,0.0,0.0,0,0.0
2019-06-20,0.0,0.0,0,0.0
2019-06-21,0.0,0.0,0,0.0
2019-06-22,0.0,0.0,0,0.0
2019-06-23,0.0,0.0,0,0.0
2019-06-24,0.0,0.0,0,0.0
2019-06-25,0.0,0.0,0,0.0
2019-06-26,0.0,0.0,0,0.0
2019-06-27,0.0,0.0,0,0.0
2019-06-28,0.0,0.0,0,0.0
2019-06-29,0.0,0.0,0,0.0
2019-06-30,0.0,0.0,0,0.0
2019-07-01,0.0,0.0,0,0.0
2019-07-02,0.0,0.0,0,0.0
2019-07-03,0.0,0.0,0,0.0
2019-07-04,0.0,0.0,0,0.0
2019-07-05,0.0,0.0,2,0.0
2019-07-06,0.0,0.0,0,0.0
2019-07-07,0.0,0.0,0,0.0
2019-07-08,0.0,0.0,0,0.0
2019-07-09,0.0,0.0,0,0.0
2019-07-10,0.0,0.0,0,0.0
2019-07-11,0.0,0.0,0,0.0
2019-07-12,0.0,0.0,0,0.0
2019-07-13,0.0,0.0,0,0.0
2019-07-14,0.0,0.0,0,0.0
2019-07-15,0.0,0.0,0,0.0
2019-07-16,0.0,0.0,0,0.0
2019-07-17,0.0,0.0,0,0.0
2019-07-18,0.0,0.0,0,0.0
2019-07-19,0.0,0.0,0,0.0
2019-07-20,0.0,0.0,0,0.0
2019-07-21,0.0,0.0,0,0.0
2019-07-22,0.0,0.0,0,0.0
2019-07-23,0.0,0.0,0,0.0
2019-07-24,0.0,0.0,0,0.0
2019-07-25,0.0,0.0,0,0.0
2019-07-26,0.0,0.0,0,0.0
2019-07-27,0.0,0.0,0,0.0
2019-07-28,0.0,0.0,0,0.0
2019-07-29,0.0,0.0,0,0.0
2019-07-30,0.0,0.0,0,0.0
2019-07-31,0.0,0.0,0,0.0
2019-08-01,0.0,0.0,0,0.0
2019-08-02,0.0,0.0,0,0.0
2019-08-03,0.0,0.0,0,0.0
2019-08-04,0.0,0.0,0,0.0
2019-08-05,0.0,0.0,0,0.0
2019-08-06,0.0,0.0,0,0.0
2019-08-07,0.0,0.0,0,0.0
2019-08-08,0.0,0.0,0,0.0
2019-08-09,0.0,0.0,0,0.0
2019-08-10,0.0,0.0,0,0.0
2019-08-11,0.0,0.0,0,0.0
2019-08-12,0.0,0.0,0,0.0
2019-08-13,0.0,0.0,0,0.0
2019-08-14,0.0,0.0,0,0.0
2019-08-15,0.0,0.0,0,0.0
2019-08-16,0.0,0.0,0,0.0
2019-08-17,0.0,0.0,0,0.0
2019-08-18,0.0,0.0,0,0.0
2019-08-19,0.0,0.0,0,0.0
2019-08-20,0.0,0.0,0,0.0
2019-08-21,0.0,0.0,0,0.0
2019-08-22,0.0,0.0,0,0.0
2019-08-23,0.0,0.0,0,0.0
2019-08-24,0.0,0.0,0,0.0
2019-08-25,0.0,0.0,0,0.0
2019-08-26,0.0,0.0,0,0.0
2019-08-27,0.0,0.0,0,0.0
2019-08-28,0.0,0.0,0,0.0
2019-08-29,0.0,0.0,0,0.0
2019-08-30,0.0,0.0,0,0.0
2019-08-31,0.0,0.0,0,0.0
2019-09-01,0.0,0.0,0,0.0
2019-09-02,0.0,0.0,0,0.0
2019-09-03,0.0,0.0,0,0.0
2019-09-04,0.0,1.0,0,0.0
2019-09-05,2.0,0.0,0,0.0
2019-09-06,0.0,0.0,0,0.0
2019-09-07,0.0,0.0,0,0.0
2019-09-08,0.0,0.0,0,0.0
2019-09-09,0.0,0.0,0,0.0
2019-09-10,0.0,0.0,0,0.0
2019-09-11,0.0,0.0,0,0.0
2019-09-12,0.0,0.0,0,0.0
2019-09-13,0.0,0.0,0,0.0
2019-09-14,0.0,0.0,0,0.0
2019-09-15,0.0,0.0,0,0.0
2019-09-16,0.0,0.0,0,0.0
2019-09-17,0.0,0.0,0,0.0
2019-09-18,0.0,0.0,0,0.0
2019-09-19,0.0,0.0,0,0.0
2019-09-20,0.0,0.0,0,0.0
2019-09-21,0.0,0.0,0,0.0
2019-09-22,0.0,0.0,0,0.0
2019-09-23,0.0,0.0,0,0.0
2019-09-24,0.0,0.0,0,0.0
2019-09-25,0.0,0.0,0,0.0
2019-09-26,0.0,0.0,0,0.0
2019-09-27,0.0,0.0,0,0.0
2019-09-28,0.0,0.0,0,0.0
2019-09-29,0.0,0.0,0,0.0
2019-09-30,0.0,0.0,0,0.0
2019-10-01,0.0,0.0,0,0.0
2019-10-02,0.0,0.0,0,0.0
2019-10-03,0.0,0.0,0,0.0
2019-10-04,0.0,0.0,0,0.0
2019-10-05,0.0,0.0,0,0.0
2019-10-06,0.0,0.0,0,0.0
2019-10-07,0.0,0.0,0,0.0
2019-10-08,0.0,0.0,0,0.0
2019-10-09,1.0,0.0,2,0.0
2019-10-10,0.0,0.0,0,0.0
2019-10-11,0.0,0.0,0,0.0
2019-10-12,0.0,0.0,0,3.5
2019-10-13,0.0,0.0,0,0.0
2019-10-14,0.0,0.0,0,0.0
2019-10-15,0.0,0.0,0,0.0
2019-10-16,15.0,0.0,0,0.0
2019-10-17,0.0,0.0,0,0.0
2019-10-18,0.0,0.0,0,0.0
2019-10-19,0.0,0.0,0,0.0
2019-10-20,0.0,0.0,0,0.0
2019-10-21,0.0,0.0,0,0.0
2019-10-22,0.0,0.0,0,0.0
2019-10-23,0.0,0.0,0,0.0
2019-10-24,0.0,0.0,0,0.0
2019-10-25,0.0,0.0,0,0.0
2019-10-26,0.0,0.0,0,0.0
